;grp_raw;grp;item_class;item_ord_cor;item_cor
7212;Polychaetes;Polychaeta;Polychaeta;Terebellida;Pectinariidae
7214;Polychaetes;Polychaeta;Polychaeta;NA;Chaetopteridae
7227;Polychaetes;Polychaeta;Polychaeta;Phyllodocida;Nereidae
7229;Polychaetes;Polychaeta;Polychaeta;Eunicida;Eunicidae
7234;Polychaetes;Polychaeta;Polychaeta;NA;Polynoidae
7239;Polychaetes;Polychaeta;Polychaeta;Terebellida;Ampharetidae
7249;Polyplacophores;Polyplacophora;Polyplacophora;NA;Polyplacophora
7250;Polyplacophores;Polyplacophora;Polyplacophora;Chitonida;Ischnochiton papillosus
7259;Polyplacophores;Polyplacophora;Polyplacophora;Chitonida;Acanthochitona pygmaea
7266;Polyplacophores;Polyplacophora;Polyplacophora;Chitonida;Choneplax lata
7269;Polyplacophores;Polyplacophora;Polyplacophora;Chitonida;Calloplax janeirensis
7273;Polyplacophores;Polyplacophora;Polyplacophora;Chitonida;Ischnochiton sp
7291;Porifera;Porifera;NA;NA;Porifera
7293;Priapuloids;Priapulida;Priapulida;NA;Priapulida
7294;Prosobranch gastropods;Gastropoda;Gastropoda;NA;Prosobranchia
7311;Prosobranch gastropods;Gastropoda;Gastropoda;NA;Prosobranchia
7321;Protochordates;Hemichordata;NA;NA;Protochordata
7325;Pteropods;Zooplankton;Gastropoda;Pteropoda;Pteropoda
7326;Pteropods;Zooplankton;Gastropoda;Pteropoda;Cavolina longirostris
7327;Pteropods;Zooplankton;Gastropoda;Pteropoda;Cavolina sp
7328;Pteropods;Zooplankton;Gastropoda;Pteropoda;Cavoliniidae
7330;Pteropods;Zooplankton;Gastropoda;Pteropoda;Creseis sp
7337;Pycnogonides;Pycnogonida;Pycnogonida;NA;Pycnogonida
7373;Pycnogonids;Pycnogonida;Pycnogonida;NA;Pycnogonida
7376;Salps;Tunicata;Thaliacea;Salpida;Salpidae
7379;Sand;Inorganic;NA;NA;Inorganic
7439;Sand_algae;Algae;NA;NA;Algae
7440;Sand_Debris;Detritus;NA;NA;Detritus_OM
7442;Sand_Foraminifera;Foraminifera;NA;NA;Foraminifera
7445;Sand_Foraminifera_Debris;Detritus;NA;NA;Organic
7447;Sand_OM;Detritus;NA;NA;Detritus_OM
7451;Sand_Pebbles;Inorganic;NA;NA;Inorganic
7452;Scaphopodes;Scaphopoda;Scaphopoda;NA;Scaphopoda
7456;Scaphopods;Scaphopoda;Scaphopoda;NA;Scaphopoda
7457;Scaphopods;Scaphopoda;Scaphopoda;Gadilida;Cadulus sp
7459;Scaphopods;Scaphopoda;Scaphopoda;Dentaliida;Dentalium sp
7468;Scaphopods;Scaphopoda;Scaphopoda;Dentaliida;Dentalium semistriolatum
7472;Scyllarid lobster;Scyllaridae;Malacostraca;Decapoda;Scyllarides aequinoctialis
7473;Scyllarid_lobster;Scyllaridae;Malacostraca;Decapoda;Scyllaridae
7480;Scyllarid_lobster;Scyllaridae;Malacostraca;Decapoda;Scyllarides aequinoctialis
7481;Scyllarus;Scyllaridae;Malacostraca;Decapoda;Scyllarus sp
7483;Scyphozoans;Scyphozoa;Scyphozoa;NA;Scyphozoa
7485;Sea turtles;Sea turtles;Reptilia;Testudines;Caretta caretta
7486;Sea turtles;Sea turtles;Reptilia;Testudines;Eretmochelys imbricata
7487;Seagrass;Seagrass;NA;NA;Seagrass
7488;Seagrass;Seagrass;Magnoliopsida;Alismatales;Cymodocea manatorum
7489;Seagrass;Seagrass;Magnoliopsida;Alismatales;Thalassia testudinum
7504;Seagrass;Seagrass;Magnoliopsida;Alismatales;Ruppia maritima
7510;Porifera;Porifera;NA;NA;Porifera
7523;Shrimp;Shrimp;Malacostraca;Decapoda;Palaemonidae
7524;Shrimp;Shrimp;Malacostraca;Decapoda;Shrimp
7531;Shrimp;Shrimp;Malacostraca;Decapoda;Hippolytidae
7532;Shrimp;Shrimp;Malacostraca;Decapoda;Alpheidae
7534;Shrimp;Shrimp;Malacostraca;Decapoda;Penaeidae
7540;Shrimp;Shrimp;Malacostraca;Decapoda;Periclimenes sp
7542;Shrimp;Shrimp;Malacostraca;Decapoda;Tozeuma sp
7551;Shrimp;Shrimp;Malacostraca;Decapoda;Caridea
7562;Shrimp;Shrimp;Malacostraca;Decapoda;Callianassa sp
7566;Shrimp;Shrimp;Malacostraca;Decapoda;Synalpheus sp
7574;Shrimp;Shrimp;Malacostraca;Decapoda;Axiidae
7607;Shrimp;Shrimp;Malacostraca;Decapoda;Gnathophyllidae
7625;Shrimp;Shrimp;Malacostraca;Decapoda;Penaeopsis goodei
7629;Shrimp;Shrimp;Malacostraca;Decapoda;Lucifer sp
7636;Shrimp;Shrimp;Malacostraca;Decapoda;Alpheus sp
7637;Shrimp;Shrimp;Malacostraca;Decapoda;Shrimp
7655;Shrimp;Shrimp;Malacostraca;Decapoda;Saron marmoratus
7688;Shrimp;Shrimp;Malacostraca;Decapoda;Gnathophylloides mineri
7716;Shrimp;Shrimp;Malacostraca;Decapoda;Stenopus hispidus
7747;Shrimp;Shrimp;Malacostraca;Decapoda;Leander sp
7767;Shrimp;Shrimp;Malacostraca;Decapoda;Solenocera sp
7785;Shrimp;Shrimp;Malacostraca;Decapoda;Lucifer faxani
7807;Shrimp;Shrimp;Malacostraca;Decapoda;Processa sp
7847;Shrimp;Shrimp;Malacostraca;Decapoda;Penaeopsis sp
7878;Shrimp;Shrimp;Malacostraca;Decapoda;Alpheus ventrosus
7884;Shrimp;Shrimp;Malacostraca;Decapoda;Lysmata moorei
7885;Shrimp;Shrimp;Malacostraca;Decapoda;Trachycaris restrictus
7934;Shrimp;Shrimp;Malacostraca;Decapoda;Stenopodidea
7938;Shrimp;Shrimp;Malacostraca;Decapoda;Brachycarpus biunguiculatus
8006;Shrimp;Shrimp;Malacostraca;Decapoda;Trachypenaeus sp
8038;Shrimp;Shrimp;Malacostraca;Decapoda;Sicyonia laevigata
8103;Siphonophores;Hydrozoa;Hydrozoa;Siphonophorae;Siphonophorae
8119;Sipunculid_introverts;Sipuncula;NA;NA;Sipuncula
8142;Sipunculidae_frags;Sipuncula;NA;NA;Sipuncula
8143;Sipunculides;Sipuncula;NA;NA;Sipuncula
8215;Sipunculids;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphon sp
8217;Sipunculids;Sipuncula;Sipunculidea;Golfingiida;Siphonosoma cumanense
8218;Sipunculids;Sipuncula;NA;NA;Sipuncula
8220;Sipunculids;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphon cumingi
8234;Sipunculids;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphon spinososcutatus
8235;Sipunculids;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphon speciosus
8238;Sp_unid;Animalia;NA;NA;Animalia
8248;Spermatophytes (inc seagrass;Seagrass;Magnoliopsida;Alismatales;Halophila baillonis
8250;Spermatophytes (inc seagrass;Spermatophyta;NA;NA;Spermatophyta
8253;Spermatophytes (inc seagrass;Seagrass;Magnoliopsida;Alismatales;Thalassia testudinum
8255;Spermatophytes (inc seagrass;Seagrass;Magnoliopsida;Alismatales;Cymodocea manatorum
8270;Spiny_lobster;Palinuridae;Malacostraca;Decapoda;Panulirus argus
8271;Spiny_lobster;Palinuridae;Malacostraca;Decapoda;Palinuridae
8274;Spiny_lobster;Palinuridae;Malacostraca;Decapoda;Panulirus guttatus
8279;Sponge;Porifera;Calcarea;NA;Calcarea
8280;Sponges;Porifera;NA;NA;Porifera
8288;Sponges;Porifera;Demospongiae;Poecilosclerida;Mycale sp
8315;Squids;Cephalopoda;Cephalopoda;Teuthida;Teuthida
8317;Squids;Cephalopoda;Cephalopoda;Teuthida;Sepiatheuthis sepioidae
8319;Squids;Cephalopoda;Cephalopoda;Teuthida;Dorytheuthis plei
8323;Squids;Cephalopoda;Cephalopoda;Teuthida;Dorytheuthis sp
8325;Stomatopoda;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
8388;Stomatopoda_larvae;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
8396;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
8397;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Odontodactylus sp
8401;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Pseudosquilla ciliata
8403;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Gonodactylus curacaoensis
8419;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Gonodactylus oerstedii
8420;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Squilla hyalina
8423;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Gonodactylus sp
8424;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Lysiosquilla glabriuscula
8438;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Squillus sp
8459;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Nannosquilla sp
8466;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Squilla tricarinata
8470;Stomatopods;Stomatopoda;Malacostraca;Stomatopoda;Squilla sp
8483;Tanaidacés;Tanaidacea;Malacostraca;Tanaidacea;Tanaidacea
8488;Copepoda;Copepoda;Malacostraca;Tanaidacea;Calanoida
8542;Tanaids;Tanaidacea;Malacostraca;Tanaidacea;Tanaidacea
8562;Tanaids;Tanaidacea;Malacostraca;Tanaidacea;Apseudidae
8578;Tunicates;Tunicata;Ascidiacea;Enterogona;Ascidia nigra
8579;Tunicates;Tunicata;NA;NA;Tunicata
8584;Tunicates;Tunicata;Ascidiacea;Enterogona;Didemnidae
8585;Tunicates;Tunicata;Appendicularia;Copelata;Oikopleura sp
8586;Tunicates;Tunicata;Thaliacea;Salpida;Salpidae
8588;Tunicates;Tunicata;Ascidiacea;Enterogona;Ecteinascidia turbinata
8589;Tunicates;Tunicata;Appendicularia;NA;Appendicularia
8590;Tunicates;Tunicata;Ascidiacea;Stolidobranchia;Boltenia sp
8592;Tunicates;Tunicata;Ascidiacea;Enterogona;Trididemnum savignii
8594;Tunicates;Tunicata;Ascidiacea;Stolidobranchia;Polycarpa insulsa
8602;Tunicates;Tunicata;Ascidiacea;NA;Ascidiacea
8621;Tunicates;Tunicata;Ascidiacea;Enterogona;Trididemnum sp
8634;Tunicates;Tunicata;Ascidiacea;Stolidobranchia;Microcosmus exasperatus
8639;Vertebrate_muscle_tissue;Animalia;NA;NA;Animalia
8640;Wood_splinters;NA;NA;NA;NA
8641;Worms_unid;Animalia;NA;NA;Animalia
8645;Zoanthaires;Zoantharia;Anthozoa;Zoantharia;Zoantharia
8648;Gastropoda;Gastropoda;Gastropoda;NA;Gastropoda
8649;Pelecypods;Bivalvia;Bivalvia;NA;Bivalvia
8651;Algae;Algae;NA;NA;Algae
8655;Zoantharians;Zoantharia;Anthozoa;Zoantharia;Zoantharia
8656;Zoantharians;Zoantharia;Anthozoa;Zoantharia;Zoanthus sp
8660;Zoantharians;Zoantharia;Anthozoa;Zoantharia;Zoanthus sociatus
8667;Zoantharians;Zoantharia;Anthozoa;Zoantharia;Zoanthus pulchellus
8670;Zoantharians;Zoantharia;Anthozoa;Corallimorpharia;Rhodactis sanctithomae
8673;Zoantharians;Zoantharia;Anthozoa;Zoantharia;Palythoa sp
8678;NA;Crab;Malacostraca;Decapoda;Galatheidae
8685;NA;NA;NA;NA;NA
