grp_raw;grp1;grp2;grp3;item_raw;item_class;item_ord_cor;item_cor
Polychaetes;Annelida;Polychaeta;Polychaeta;Serpulids;Polychaeta;Sabellida;Serpulidae
Sponges;Porifera;Porifera;Porifera;Sponges;NA;NA;Porifera
Polychaeta;Annelida;Polychaeta;Polychaeta;Eunice_sp;Polychaeta;Eunicida;Eunice sp
Isopods;Isopoda;Isopoda;Malacostraca;Anthurids;Malacostraca;Isopoda;Anthuridae
Isopods;Isopoda;Isopoda;Malacostraca;Asellote_sp;Malacostraca;Isopoda;Asellote sp
Isopods;Isopoda;Isopoda;Malacostraca;Cymodoce_sp;Malacostraca;Isopoda;Cymodoce sp
Isopods;Isopoda;Isopoda;Malacostraca;Excorallanids;Malacostraca;Isopoda;Corallanidae
Isopods;Isopoda;Isopoda;Malacostraca;Sphaeromids;Malacostraca;Isopoda;Sphaeromatidae
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Americardia_guppyi;Bivalvia;Veneroida;Americardia guppyi
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Americardia media;Bivalvia;Veneroida;Americardia media
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Chione_sp;Bivalvia;Veneroida;Chione sp
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Chione_cancellata;Bivalvia;Veneroida;Chione cancellata
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Cumingia_antillarum;Bivalvia;Veneroida;Cumingia antillarum
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Papyridea_semisulcata;Bivalvia;Veneroida;Papyridea semisulcata
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Pecten_sp;Bivalvia;Pectinoida;Pecten sp
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Columbella mercatoria
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Mitra sp
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;NA;Modulus modulus
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Littorinimorpha;Zebina browniana
Amphiopods;Amphipoda;Amphipoda;Malacostraca;Caprellids;Malacostraca;Amphipoda;Caprellidae
Amphiopods;Amphipoda;Amphipoda;Malacostraca;Gammarids;Malacostraca;Amphipoda;Gammaridae
Amphiopods;Amphipoda;Amphipoda;Malacostraca;Lysianasid;Malacostraca;Amphipoda;Lysianassidae
Amphiopods;Amphipoda;Amphipoda;Malacostraca;Metopid;Malacostraca;Amphipoda;Metopidae
Tunicates;Tunicata;Tunicata;Tunicata;Trididemnum_savignii;Ascidiacea;Enterogona;Trididemnum savignii
Tanaids;Tanaidacea;Tanaidacea;Malacostraca;Apseudid;Malacostraca;Tanaidacea;Apseudidae
Ostracods;Ostracoda;Ostracoda;Ostracoda;Bairdoppilata_carinata;Ostracoda;Podocopida;Bairdoppilata carinata
Ostracods;Ostracoda;Ostracoda;Ostracoda;Cypridinine;Ostracoda;NA;Cypridinine
Chitons;Polyplacophora;Polyplacophora;Polyplacophora;Chitons;Polyplacophora;NA;Polyplacophora
Nebaliaceans;Zooplankton;Leptostraca;Zooplankton;Nebalia_sp;Malacostraca;Leptostraca;Nebalia sp
Scaphopods;Scaphopoda;Scaphopoda;Scaphopoda;Dentalium_sp;Scaphopoda;Dentaliida;Dentalium sp
Sipunculids;Sipuncula;Sipuncula;Sipuncula;Sipunculids;NA;NA;Sipuncula
Sipunculids;Sipuncula;Sipuncula;Sipuncula;Aspidosiphon_speciosus;Phascolosomatidea;Aspidosiphonida;Aspidosiphon speciosus
Sipunculids;Sipuncula;Sipuncula;Sipuncula;Siphonosoma_cumanense;Sipunculidea;Golfingiida;Siphonosoma cumanense
Echinoids;Echinoidea;Echinoidea;Echinoidea;Brissus_brissus;Echinoidea;Spatangoida;Brissus brissus
